chemin, paquet, paquet_LOC, paquet_CLOC, paquet_DC, WCP, paquet_BC
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/data/function, function, 388, 212, 0.5463917525773195, 4, 0.13659793814432988
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/data/time, time, 7129, 2182, 0.30607378313929023, 25, 0.01224295132557161
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/data/time/ohlc, ohlc, 665, 267, 0.40150375939849625, 4, 0.10037593984962406
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/data/gantt, gantt, 1073, 348, 0.32432432432432434, 6, 0.05405405405405406
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/data/xy, xy, 5944, 2270, 0.38189771197846567, 34, 0.011232285646425462
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/data/flow, flow, 282, 155, 0.549645390070922, 3, 0.18321513002364065
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/main/java, java, 43, 3, 0.06976744186046512, 2457, 2.8395377232586536E-5
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/main/java/org/jfree/chart, chart, 6545, 3281, 0.5012987012987012, 1909, 2.6259753865830345E-4
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/main/java/org/jfree/chart/legend, legend, 3356, 1704, 0.5077473182359953, 16, 0.031734207389749705
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/main/java/org/jfree/chart/imagemap, imagemap, 652, 460, 0.7055214723926381, 17, 0.041501263081919884
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/main/java/org/jfree/chart/renderer, renderer, 5738, 3149, 0.5487974904147787, 490, 0.0011199948783975075
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/main/java/org/jfree/chart/renderer/category, category, 12580, 5991, 0.4762321144674086, 201, 0.002369314002325416
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy, xy, 18269, 8646, 0.47326071487218785, 256, 0.0018486746674694838
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/main/java/org/jfree/chart/plot, plot, 25028, 12156, 0.48569602045708804, 221, 0.002197719549579584
